AGSB_CODINST;AGSB_NOMBREINSTITUCION;CODIGOMUNICIPIO;NOMBREMUNICIPIO;DEPARTAMENTO;CALENDARIO;NATURALEZA;JORNADA;EVALUADOS;PROMMATEMATICA;PROMINGLES;PROMLECTURACRITICA;PROMSOCIALESYCIUDADANAS;PROMCIENCIASNATURALES;PROMRAZONAMIENTOCUANTITA;PROMCOMPETENCIASCIUDADAN;DESVMATEMATICA;DESVINGLES;DESVLECTURACRITICA;DESVSOCIALESYCIUDADANAS;DESVCIENCIASNATURALES;DESVRAZONAMIENTOCUANTITA;DESVCOMPETENCIASCIUDADA;PERIODO
143503;CORPORACION DE EDUCACION TECNICA DEL ORIENTE - SEDE PRINCIPAL;00408;AGUACHICA;CESAR;A;NO OFICIAL;SABATINA - DOMINICAL;138;42,32;44,14;39,84;41,33;41,57;43,09;41,32;6,91;6,67;7,83;7,86;6,19;7,67;7,34;20142
030940;INSTITUCION EDUCATIVA COMFACOR JAIME EXBRAYAT;00432;MONTERIA;CORDOBA;A;NO OFICIAL;MAÑANA;136;59,65;59,26;58,42;58,64;58,79;57,92;58,38;10,44;11,46;7,52;8,53;9,21;9,92;8,12;20142
152470;I.E. LUIS FLOREZ - SEDE PRINCIPAL;00987;LIBANO;TOLIMA;A;OFICIAL;MAÑANA;5;45,8;46;43,8;49,2;49,4;45;50,2;7,22;3,16;5,72;4,6;8,62;10,37;3,77;20142
165126;ALTO DEL CIELO;00992;ORTEGA;TOLIMA;A;OFICIAL;MAÑANA;10;46,9;49,1;48,5;51,1;47,9;49,3;52,3;8,7;6,56;7,96;7,5;7,89;7,47;9,12;20142
173864;INSTITUCION EDUCATIVA JOSE ACEVEDO Y GOMEZ - SEDE PRINCIPAL;00981;FRESNO;TOLIMA;O;NO OFICIAL;SABATINA - DOMINICAL;38;45,53;45,21;44,24;44,24;44,66;45,39;45,16;8,43;5,32;7,3;7,72;6,67;9,65;8,95;20142
174573;COL ALBERT EINSTEIN;00784;CUCUTA;NORTE SANTANDER;O;NO OFICIAL;SABATINA - DOMINICAL;17;48,18;44,76;48,29;48,35;46,06;49,18;48,18;6,03;5,95;6,86;8,07;6,08;6,63;7,8;20142
098434;VERDE AMAZONICO;00361;SAN VICENTE DEL CAGUAN;CAQUETA;A;OFICIAL;MAÑANA;26;48,77;45,04;48,73;47,81;46,77;48,38;47,81;6,88;4,89;6,99;7,19;7,82;7,22;7,38;20142
130088;INSTITUCION EDUCATIVA SIMÓM BOLIVAR;00452;SAHAGUN;CORDOBA;A;OFICIAL;TARDE;47;51,49;47,98;49,98;50,17;50,64;51,47;48,94;8,39;4,75;8,06;7,36;8,56;8,1;7,76;20142
125385;COL JAIME GARZON;00784;CUCUTA;NORTE SANTANDER;A;OFICIAL;MAÑANA;59;52,15;48,8;50,53;48,39;50,58;52,36;48,32;8,23;6,49;8,4;7,83;9,08;8,76;7,99;20142
190199;CENTRO EDUCATIVO DISTRITAL RURAL LA QUININA;00661;SANTA MARTA;MAGDALENA;A;OFICIAL;TARDE;6;45,17;46,5;43,5;47;47,17;49;47,5;3,06;4,59;5,75;8,51;7,39;3,52;8,64;20142
047944;SEDE 01 LA SAGRADA FAMILIA;00963;IBAGUE;TOLIMA;A;OFICIAL;NOCHE;4;47,75;51,5;45,25;46,25;39,5;47;44,75;2,22;3,51;4,57;5,74;4,51;1,41;7,23;20142
005108;COLEGIO SEMINARIO DIOCESANO;00230;DUITAMA;BOYACA;A;NO OFICIAL;COMPLETA U ORDINARIA;105;73,57;66,46;65,25;68;70,65;71,04;65,83;9,45;11,61;7,34;9,02;7,78;10,39;8,36;20142
156976;INSTITUCIÓN EDUCATIVA ATANASIO GIRARDOT;00322;MANIZALES;CALDAS;A;OFICIAL;NOCHE;33;42,58;44;43,61;43,24;42,79;43,82;43,09;7,35;4,56;7,66;6,97;6,67;9,63;7,14;20142
158394;INSTITUCION EDUCATIVA TECNICA INDUSTRIAL MOISES CABEZA JUNCO;00197;VILLANUEVA;BOLIVAR;A;OFICIAL;TARDE;35;43,8;45,91;43,89;44,14;43,03;43,26;44,91;7,05;6,02;7,65;7,96;6,83;7,78;7,44;20142
117978;COL. HERMANO MIGUEL;01010;CALI;VALLE;B;NO OFICIAL;MAÑANA;14;44,21;46,71;48,71;45,93;48,21;47,43;47,79;7,49;3,87;8,01;5,25;5,95;7,67;5,22;20142
171322;C. E. LA LLANA - SEDE PRINCIPAL;00428;SAN ALBERTO;CESAR;A;OFICIAL;MAÑANA;5;43,6;47,2;46,4;44,6;44;46,4;45,4;3,65;1,79;8,02;7,5;1,87;3,36;6,8;20142
014662;INSTITUTO TECNICO INDUSTRIAL SAN JUAN BOSCO;00872;CONTRATACION;SANTANDER;A;OFICIAL;COMPLETA U ORDINARIA;52;58,63;50,44;54,52;55,25;57,81;57,87;55,27;11,93;5,86;9,63;11,3;10,01;12,17;11,19;20142
002451;COLEGIO ASPAEN GIMNASIO LOS ALCAZARES;00087;SABANETA;ANTIOQUIA;A;NO OFICIAL;COMPLETA U ORDINARIA;45;71,2;84,78;62,58;67,16;70,24;67,04;63,18;8,72;10,06;6,71;6,82;7,8;8,6;6,47;20142
003988;INSTITUCION EDUCATIVA DE SABANALARGA FERNANDO HOYOS RIPOLL;00142;SABANALARGA;ATLANTICO;A;OFICIAL;MAÑANA;113;47,02;49,3;48,56;47,75;47,53;46,85;47,97;7,51;7,55;8,33;8,3;8,27;7,54;8,72;20142
021162;COL EMILIO VALENZUELA - SEDE PRINCIPAL;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;58;62,62;70,41;60,86;62;63,45;60,5;61,14;10,43;14,38;7,13;8,35;9,93;10,65;7,52;20142
084582;COLEGIO AGROPECUARIO NUESTRA SENORA DEL CARMEN (EIGUACHICONO;00369;BOLIVAR;CAUCA;A;OFICIAL;COMPLETA U ORDINARIA;14;43,93;44,5;40,14;41,93;45,93;43,21;41,36;7,68;4,47;8,37;8,12;11,19;11,07;8,32;20142
063735;COL GOLDA MEIR;00126;BARRANQUILLA;ATLANTICO;A;NO OFICIAL;MAÑANA;31;47,74;46,65;48,71;46,94;45,97;47,74;47,16;6,68;3,09;9,55;8,5;6,96;9,12;7,58;20142
005009;COL. NTRA SRA DEL ROSARIO;00215;CHIQUINQUIRA;BOYACA;A;NO OFICIAL;COMPLETA U ORDINARIA;23;53,43;55,04;56,22;57,09;54,52;52,7;56,91;9,31;11,7;8,68;9,23;9,29;10,17;9,39;20142
088104;INSTITUCION EDUCATIVA DISTRITAL DE PALOMINITO;00661;SANTA MARTA;MAGDALENA;A;OFICIAL;MAÑANA;8;43,63;45,13;45,5;45,88;45,63;44,63;45,88;5,63;4,64;5,1;7,2;3,34;6,23;6,33;20142
063883;LIC VAL (VIDA-AMOR-LUZ);00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;27;67,81;76,19;63,78;64,48;71;64,56;63,85;11,11;13,52;9,47;8,66;7,58;9,94;8,41;20142
094813;CENT EDUC FORMAL DISCENTERS;01045;TULUA;VALLE;A;NO OFICIAL;NOCHE;18;44,17;48,5;49,33;48,61;49,44;45,61;49,67;7,54;10,41;11,15;9,81;6,79;7,52;10,92;20142
032193;COL INTEGRADO PERPETUO SOCORRO;00801;HERRAN;NORTE SANTANDER;A;OFICIAL;COMPLETA U ORDINARIA;27;49,07;47,85;48,22;46,89;51,22;49,96;46,85;8,3;5,12;8,29;9;8,69;8,94;8,5;20142
073015;COL DIST TOBERIN;00152;BOGOTÁ D.C.;BOGOTA;A;OFICIAL;TARDE;96;51,82;51,11;52,76;53,46;54,46;51,69;52,95;8,72;9,09;8,89;10,14;8,96;9,03;9,67;20142
131854;LICEO DON BOSCO;00633;PITALITO;HUILA;A;NO OFICIAL;COMPLETA U ORDINARIA;4;44,25;46,75;40,5;46,25;45;44,75;46,5;5,68;2,63;8,58;3,4;7,62;7,63;3,87;20142
020479;COL DE LOS ANDES;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;90;65,84;64,41;62,9;62,04;65,51;63,33;61,42;9,56;12,08;10,07;8,13;7,74;10,54;7,07;20142
166389;I.E. JESUS ANTONIO AMEZQUITA - SEDE PRINCIPAL;00998;RIOBLANCO;TOLIMA;A;OFICIAL;MAÑANA;5;45,8;53,2;43,8;41,4;49,6;47,8;40,2;6,22;1,3;5,93;7,8;7,92;7,69;11,88;20142
102806;CENT EDUC DIST JOSE ACEVEDO Y GOMEZ;00152;BOGOTÁ D.C.;BOGOTA;A;OFICIAL;TARDE;16;45,5;47,88;48,38;50,13;50,38;46,13;49,44;8,17;5,3;8,38;9,82;7,6;8,08;9,89;20142
109041;INST. EDUC. DIST. DE FORMACION INTEGRAL;00126;BARRANQUILLA;ATLANTICO;A;OFICIAL;MAÑANA;63;51,83;52,65;54,71;54,84;52,46;50,17;55,22;8,39;11,37;7,88;8,82;8,93;8,51;10,57;20142
147058;COL VEINTE DE JULIO;00692;ACACIAS;META;A;OFICIAL;SABATINA - DOMINICAL;96;42,79;44,11;44,4;44,6;43,17;43,41;45,14;7,73;6,76;7,99;8,99;7,68;8,81;8,82;20142
066878;LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;22;56,82;57,55;56,95;55,73;56,64;55,68;55,09;7,61;11,31;12,67;10,57;8,84;6,72;9,86;20142
117929;INSTITUTO NACIONAL DE ESTUDIOS INTEC - SEDE PRINCIPAL;00059;ITAGUI;ANTIOQUIA;A;NO OFICIAL;SABATINA - DOMINICAL;33;43,88;42,7;45,94;44,94;43,55;44,61;45,52;8,74;12,69;11,52;9,68;8,52;8,98;9,59;20142
033191;INST. EDUC. DIST. CARLOS MEISEL;00126;BARRANQUILLA;ATLANTICO;A;OFICIAL;TARDE;32;44,25;46,16;44,72;45,16;44,28;45;45,03;8,26;4,22;10,3;8,59;7,31;8,08;8,83;20142
064881;INSTITUTO INTEGRADO IRRA;00847;QUINCHIA;RISARALDA;A;OFICIAL;MAÑANA;31;45,65;46,9;45,1;45,55;45,13;46,23;46,1;7,57;5,6;7,1;6,93;5,38;8,72;6,93;20142
006619;COLEGIO LA SAGRADA FAMILIA;00338;PALESTINA;CALDAS;A;OFICIAL;COMPLETA U ORDINARIA;42;46,98;47,88;47,67;48,79;48,05;46,55;49,33;7,61;6,12;6,89;7,88;6,81;8,19;7,69;20142
074237;SEDE 1 CARLOS LLERAS RESTREPO;00963;IBAGUE;TOLIMA;A;OFICIAL;MAÑANA;100;50,71;48,36;51,25;50,21;51,78;50,82;50,69;6,85;5,47;8,49;8,7;8,93;7,47;9,44;20142
001271;LICEO JESUS MARIA URREA;00010;ANORI;ANTIOQUIA;A;OFICIAL;COMPLETA U ORDINARIA;46;46,26;44,61;47;48,46;46,13;46,7;48,7;9,3;6,07;7,89;9,38;8,21;10,06;9,45;20142
035428;COL DPTAL LORENCITA VILLEGAS DE SANTOS;00669;EL BANCO;MAGDALENA;A;OFICIAL;TARDE;69;42,29;43,35;39,22;40,64;40,49;42,67;40,61;8,31;5,12;9,11;8,21;6,97;9,69;7,87;20142
040048;LICEO SAN JUAN BOSCO;00026;CAICEDO;ANTIOQUIA;A;OFICIAL;COMPLETA U ORDINARIA;18;51,06;48,33;52,72;51,78;50,17;51,39;52,39;9,31;4,12;9,51;9,51;7,48;8,89;10,33;20142
123398;FRANCISCO MOLINA SANCHEZ;00407;VALLEDUPAR;CESAR;A;OFICIAL;TARDE;109;46,64;45,83;45,63;45,38;46,94;46,98;45,27;7,64;5,3;7,82;6,98;7,28;7,93;7,03;20142
000851;INST TEC IND PASCUAL BRAVO;00001;MEDELLIN;ANTIOQUIA;A;OFICIAL;TARDE;228;57,78;56,4;58,76;57,7;57,53;57,25;57;9,12;10,81;7,65;7,57;8,69;9,16;7,75;20142
171454;IE PAULO VI;00442;LORICA;CORDOBA;A;OFICIAL;MAÑANA;29;45,48;44,59;43,52;45,28;47,59;46,34;45,14;5,71;6,77;6,66;6,4;6,84;6,74;6,02;20142
049932;COL PUERTO SANTANDER;00811;PUERTO SANTANDER;NORTE SANTANDER;A;OFICIAL;MAÑANA;54;46,76;47,11;47,5;48,85;47,61;48,13;48,52;6,04;5,34;7,94;8,37;7,15;7,39;7,55;20142
000497;COL SAN JUAN BOSCO;00001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA U ORDINARIA;43;59,14;65,12;60,88;60;59,77;56,63;60;9,32;12,45;6,54;6,89;6,84;10,59;7,07;20142
166306;CENT DE FORMACION EDUCATIVA;00562;TOCANCIPA;CUNDINAMARCA;A;NO OFICIAL;SABATINA - DOMINICAL;19;46,42;46,11;47,37;50,42;46,58;48,21;49,95;9,22;9,55;8,47;11,57;10,35;9,07;11,79;20142
105965;COL BASIS;01036;PALMIRA;VALLE;B;NO OFICIAL;MAÑANA;29;44;46,9;46,45;44,72;44,52;46,07;45,14;6,02;5,34;9,05;8,51;8,66;5,4;7,9;20142
099846;LIC. GALOIS;00407;VALLEDUPAR;CESAR;A;NO OFICIAL;MAÑANA;39;46,18;48,23;48,1;45,49;47,21;46,31;45,41;7,16;8,15;8,03;8,92;8,71;7,66;9,16;20142
038646;COL MIXTO MPAL CAMILO TORRES RESTREPO;00856;BARRANCABERMEJA;SANTANDER;A;OFICIAL;TARDE;18;50,17;47;47,44;47,5;50,72;50,28;47,06;9,02;6,34;8,45;11,07;8,13;10,33;10,68;20142
131409;ESC NVA EL EBANO;00443;LOS CORDOBAS;CORDOBA;A;OFICIAL;MAÑANA;17;46,47;46,47;45,24;43,41;46,76;46,35;43,76;8,23;3,2;6,34;9,79;5,98;9,35;8,81;20142
168880;COL AGRIC DEL VALLE;00583;BAHIA SOLANO (MUTIS);CHOCO;A;OFICIAL;MAÑANA;15;40,4;46,07;38,6;36,2;40,93;39,8;37,53;5,8;4,86;5,3;6,44;4,25;8,56;6,72;20142
182824;COLEGIO GORETTI;00153;CARTAGENA;BOLIVAR;A;NO OFICIAL;COMPLETA U ORDINARIA;13;57,08;53,46;55,77;52,92;57,15;57,08;53,46;5,79;7,18;8,11;8,74;4,24;7,26;9,48;20142
109249;I.E. MILLAN VARGAS - SEDE PRINCIPAL;00953;SAMPUES;SUCRE;A;OFICIAL;MAÑANA;114;49,39;49,11;46,04;46,92;48,57;47,89;46,4;8,53;5,04;7,15;8,42;7,64;8,97;8,73;20142
189514;COL BILING¿E CHESTER PALMER;00856;BARRANCABERMEJA;SANTANDER;A;NO OFICIAL;COMPLETA U ORDINARIA;12;65;73,25;63,25;60,08;64,58;62,25;58,75;10,2;12,65;9,25;9,82;8,99;11,21;7,12;20142
069484;COL AGRIC DE UNGUIA;00607;UNGUIA;CHOCO;A;OFICIAL;MAÑANA;35;41,51;43,43;41;39,26;38,66;41,34;39,8;6,21;4,72;5,99;8,52;8,84;7,84;7,94;20142
038638;COL TEC VICENTE AZUERO;00882;FLORIDABLANCA;SANTANDER;A;OFICIAL;TARDE;112;52,57;50,72;52,3;51,91;53,66;52,46;52,3;7,15;8,81;7,92;7,73;8,22;7,52;8,14;20142
009845;I.E. INEM JULIAN MOTTA SALAS;00609;NEIVA;HUILA;A;OFICIAL;MAÑANA;208;53,5;50,92;53,18;53,97;54,79;53,19;54,1;9,67;8,23;8,6;8,88;10,27;9,93;9,13;20142
015081;ESCUELA NORMAL SUPERIOR MARIA AUXILIADORA;00917;SAN ANDRES;SANTANDER;A;OFICIAL;COMPLETA U ORDINARIA;56;49,25;46,95;46,91;47,27;48,09;48,68;47,7;6,63;5,17;7,55;8,5;7,8;6,55;8,8;20142
102483;CENT EDUC DIST JAIME GARZON;00152;BOGOTÁ D.C.;BOGOTA;A;OFICIAL;COMPLETA U ORDINARIA;113;54,88;55,6;55,43;54,55;56,19;54,31;54,36;8,61;9,78;8,45;8,65;8,86;8,87;7,72;20142
028654;I.E. PLINIO MENDOZA NEIRA - SEDE PRINCIPAL;00310;TOCA;BOYACA;A;OFICIAL;COMPLETA U ORDINARIA;79;48,72;48,7;47,39;49,13;50,65;49,37;49,99;7,88;5,62;9,12;7,83;8,05;8,48;8,89;20142
143180;COL PAULO FREIRE - SEDE PRINCIPAL;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;3;48,33;68,67;52,33;59,67;55,33;49;59,67;5,69;14,57;10,02;6,11;7,51;8,89;11,5;20142
040576;COL. EUGENIA RAVASCO;00322;MANIZALES;CALDAS;A;NO OFICIAL;MAÑANA;122;53,35;54,75;57,31;55,27;54,73;53,37;56,2;8,11;9,14;6,94;6,63;7,71;8,27;7,03;20142
134965;FACE;00835;SALENTO;QUINDIO;A;NO OFICIAL;MAÑANA;5;54,8;69;61,8;58,8;54,8;56,8;59,6;5,02;8,46;13,83;6,38;10,8;3,96;6,54;20142
031815;PAULO VI;00648;BARRANCAS;LA GUAJIRA;A;OFICIAL;MAÑANA;110;46,76;44,5;43,25;43,17;45,91;46,99;43,12;7,62;4,89;7,36;7,71;6,68;8,08;8,14;20142
165746;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;00937;SINCELEJO;SUCRE;A;OFICIAL;TARDE;31;55,55;55,45;53,45;56,58;60,26;53,61;56,13;9,79;8,87;7,31;8,38;8,56;9,4;7,27;20142
009696;IE LICEO DE SANTA LIBRADA;00609;NEIVA;HUILA;A;OFICIAL;NOCHE;34;46,82;45,24;45,15;47,62;44,15;47,18;46;7,15;6;9,09;8,94;8;7,94;8,8;20142
087254;COL DE BACHILLERATO ACDEMICO ROSARISTA;00963;IBAGUE;TOLIMA;A;NO OFICIAL;MAÑANA;17;57,47;54,82;55,18;55,53;57,47;57,76;55,18;9,53;8,78;9,04;8,54;8,52;10,17;7,09;20142
141671;INSTITUCION EDUCATIVA NOR OCCIDENTAL DE SOLEDAD;00145;SOLEDAD;ATLANTICO;A;OFICIAL;MAÑANA;87;49,86;48,48;48,03;47,32;49,61;48,61;47,41;8,21;6,57;7,97;8,39;8,28;8,43;8,34;20142
128173;INSTITUCION EDUCATIVA HELIODORO ALFREDO MONTERO DUARTE;00651;EL MOLINO;LA GUAJIRA;A;OFICIAL;MAÑANA;21;47,48;45,24;47,05;44,62;47,14;46,14;45,57;4,57;4,23;7,57;9,64;7,86;6,57;11,61;20142
128884;I.E. RAFAEL BAYONA NINO - SEDE PRINCIPAL;00264;PAIPA;BOYACA;A;OFICIAL;MAÑANA;26;53,08;48,58;50,85;52,85;54,5;54,19;51,69;10,4;4,4;8,1;9,11;8,5;9,64;10,05;20142
077180;SAN FERNANDO FERRINI - SEDE PRINCIPAL;00646;RIOHACHA;LA GUAJIRA;A;NO OFICIAL;NOCHE;29;48,52;47;45;45,66;44,21;48,69;45,79;5,89;6,22;10,3;8,03;9,54;6,69;7,17;20142
079798;COL ALEXANDER FLEMING;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;12;51,25;52,75;51,33;53;53;51,25;51,08;9,25;5,67;7,61;4,11;6,31;8,74;4,83;20142
114652;I.E. REAL CAMPESTRE LA SAGRADA FAMILIA - SEDE PRINCIPAL;00981;FRESNO;TOLIMA;A;OFICIAL;MAÑANA;34;45,76;46,41;46,12;48,85;46,21;47,21;49,32;6,53;4,45;8,74;10,08;8,35;7,47;9,55;20142
065417;I.E. SANTIAGO PEREZ - SEDE PRINCIPAL;00969;ATACO;TOLIMA;A;OFICIAL;MAÑANA;41;44,8;46;43,78;44,9;46,8;45,73;44,15;7,1;5,01;7,04;8,09;6,75;8,45;8,11;20142
042770;INST TEC MERCEDES ABREGO;00784;CUCUTA;NORTE SANTANDER;A;OFICIAL;TARDE;96;61,3;56,89;59,38;56,65;62,56;59,55;57,49;9,49;9,24;7,33;8;7,76;10,52;8,43;20142
075879;COLEGIO BUENOS AIRES;00029;CAÑASGORDAS;ANTIOQUIA;A;OFICIAL;COMPLETA U ORDINARIA;14;50,57;45,71;52,71;54,29;50,79;53;54;7,57;6,18;4,08;6,01;8,01;9,8;6,37;20142
002253;LICEO MANUELA BELTRAN;00068;MACEO;ANTIOQUIA;A;OFICIAL;MAÑANA;62;46,97;45,37;48,06;49,77;47,53;47,68;49,84;9,34;8,09;11,05;10,35;9,24;10,48;10;20142
031898;FRAY ALFONSO DE LA CONCEPCION PEÑA;01050;YUMBO;VALLE;A;OFICIAL;NOCHE;51;41,63;43,75;43,82;42,12;42,57;41,63;42,18;8,71;5,7;8,95;9,95;9,41;9,56;9,75;20142
157107;INSTITUTO TECNICO PARA EL DESARROLLO RURAL IDEAR;00883;GALAN;SANTANDER;A;NO OFICIAL;COMPLETA U ORDINARIA;9;38,67;42;36,89;37,11;39,89;37,89;37,78;4,18;3,84;4,34;5,11;4,31;4,34;4,12;20142
139576;I.E. CUENCA - SEDE PRINCIPAL;00956;SAN MARCOS;SUCRE;A;OFICIAL;MAÑANA;26;52,69;45,42;47,08;48,27;49,88;51,92;48,69;7,43;5,78;10,49;10,22;8,53;7,59;9,43;20142
112656;COLEGIO ROBERTO LOPEZ GOMEZ;00103;SANTO DOMINGO;ANTIOQUIA;A;OFICIAL;SABATINA - DOMINICAL;38;42,55;44,05;43,53;44,16;43,79;43,13;44,79;5,92;4,42;8,05;7,55;6,96;7,45;8,44;20142
116830;I E SANTA ANA;00490;FUNZA;CUNDINAMARCA;A;NO OFICIAL;TARDE;34;55,76;60,06;57,76;56,41;58,29;55,09;57,79;8,76;12,45;8,98;8,12;9,17;8,77;7,76;20142
114728;CENT EDUC DIST MANUEL DEL SOCORRO RODRIGUEZ;00152;BOGOTÁ D.C.;BOGOTA;A;OFICIAL;TARDE;53;51,36;49,68;51,79;51,68;51,58;51,98;52,26;10,19;9,7;9,42;9,35;8,8;9,23;9,01;20142
084426;CENTRO EDUCATIVO LEONARDO DA VINCI;01010;CALI;VALLE;A;NO OFICIAL;MAÑANA;19;53,95;51,26;52,63;53,26;52,95;53,68;52,21;10,46;8,61;7,97;6,81;8,17;10,86;7,18;20142
000364;COL MARIA AUXILIADORA;00001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA U ORDINARIA;57;62,89;68,84;62,44;61,33;63,61;60,28;61,75;9,58;11,94;6,68;7,46;8,21;8,9;8,83;20142
112565;POLITECNICO DE LOS ANDES SIGLO XXI;00492;FUSAGASUGA;CUNDINAMARCA;A;NO OFICIAL;MAÑANA;25;50,12;49,16;48,76;47,12;48,64;50,04;48;8,57;10,05;7,73;11,85;8,01;8,34;11,67;20142
112953;COL LUIS MARIANO;00152;BOGOTÁ D.C.;BOGOTA;A;NO OFICIAL;COMPLETA U ORDINARIA;25;51,6;52,24;55,8;54,36;54,08;52,52;54,72;5,78;8,87;7,87;7,16;7,7;7,28;7,66;20142
006791;COLEGIO DE BTO NOCTURNO JORGE V;00342;SALAMINA;CALDAS;A;OFICIAL;NOCHE;2;47;51;46;54,5;60;48;52,5;0;2,83;2,83;4,95;0;1,41;4,95;20142
006262;INSTITUCION EDUCATIVA SAN ANTONIO DE ARMA;00323;AGUADAS;CALDAS;A;OFICIAL;COMPLETA U ORDINARIA;24;47,54;48;46,29;46,25;45,29;46,83;47,54;6,37;4,25;7,07;9,09;7,78;7,3;8,55;20142
174391;COL AGROP VALLE DEL GUAMUEZ;01089;VILLA GUAMEZ (LA HORMIGA);PUTUMAYO;A;OFICIAL;SABATINA - DOMINICAL;43;41,98;45,26;41,16;43,05;41,79;43,91;41,88;8,07;4,23;7,63;8,27;7,6;8,59;8,8;20142
162107;CENT EDUC DE VARONES;00678;PLATO;MAGDALENA;A;OFICIAL;NOCHE;1;52;50;41;47;52;59;47;0;0;0;0;0;0;0;20142
011627;COLEGIO CHAMPAGNAT;00747;IPIALES;NARIÑO;A;NO OFICIAL;MAÑANA;45;63,84;65,76;59,04;59,09;62,67;63,11;59,29;9,47;12,51;8,19;9,69;8,87;10,34;9,14;20142
157230;INSTITUTOTECNICO PARA EL DESARROLLO RURAL IDEAR;00911;PINCHOTE;SANTANDER;A;NO OFICIAL;COMPLETA U ORDINARIA;15;47,67;43,4;45;46,53;44,87;49,87;46,87;4,82;6,01;9,54;8,57;6,81;5,64;8,65;20142
104927;INST EDUC SAN JUAN BOSCO;00958;SAN PEDRO;SUCRE;A;OFICIAL;MAÑANA;57;46,68;46,95;44,84;46,11;45,6;47;45,75;8,51;6,56;8,71;9,16;8,85;8,91;9,53;20142
104554;INSTITUCIÓN EDUCATIVA DPTAL  ALFONSO LÓPEZ PUMAREJO;00521;NEMOCON;CUNDINAMARCA;A;OFICIAL;NOCHE;15;43,87;46,47;45,33;44,73;46,6;44,93;44,93;6,81;4,39;9;8,05;5,11;8,15;7,68;20142
149799;INST EDUC BENJAMIN HERRERA;00001;MEDELLIN;ANTIOQUIA;A;OFICIAL;NOCHE;6;40,83;46,33;44,33;43,33;40,33;44,33;44;9,45;3,01;5,13;8,26;12,45;9,54;7,51;20142
060103;I.E. MARÍA AUXILIADORA - SEDE PRINCIPAL;00212;CAMPOHERMOSO;BOYACA;A;OFICIAL;COMPLETA U ORDINARIA;8;55,63;52,13;47,38;53,13;52,88;53,63;52,5;7,93;5,89;8,57;12,24;8,25;5,95;10,14;20142
118208;IE JOSE MARIA VILLEGAS;01017;BUGA;VALLE;A;OFICIAL;TARDE;74;47,43;47,82;49,8;48,32;47,8;48,46;48,59;6,02;4,08;8,24;7,44;7,49;6,64;7,39;20142
119966;INST EDUC LA PRESENTACION;00001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MAÑANA;78;55,13;56,09;56,51;54,26;54,42;53,63;55,17;9,49;10,62;9,05;8,67;8,21;9,23;9,1;20142
113258;INSTITUCION EDUCATIVA DISTRITAL LA MERCED;00126;BARRANQUILLA;ATLANTICO;A;OFICIAL;MAÑANA;26;44,73;47,88;45,92;46;44,19;45,88;46,69;9,12;6,18;8,7;8,25;9,11;9,29;7,77;20142
159798;INTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA ANDES;00539;SAN BERNARDO;CUNDINAMARCA;A;OFICIAL;SABATINA - DOMINICAL;14;43,64;44,5;43,57;42,43;43,79;46,5;43,5;6,23;6,17;8,55;10,26;4,89;7,83;9,74;20142
034363;COLEGIOTECNICO  SAN JUAN BAUTISTA;00755;LOS ANDES (SOTOMAYOR);NARIÑO;A;OFICIAL;MAÑANA;57;50,25;49,16;50,7;51,6;52,26;49,93;52,05;8,17;6,77;8,42;7,1;8,71;9,07;7,24;20142
054452;SANTA BARBARA;00169;MAGANGUE;BOLIVAR;A;OFICIAL;MAÑANA;64;46,77;44,47;46,7;47,3;46,81;47,81;47,52;6,1;4,69;7,55;8,82;7,39;7,64;8,57;20142
148494;ESCUELA RURAL  EL ESCOBAL;00463;ALBAN;CUNDINAMARCA;A;OFICIAL;SABATINA - DOMINICAL;11;43,82;44,09;44,91;47,73;42,82;44,55;48,18;7,03;5,87;6,79;6,05;3,87;5,05;5,55;20142
004309;INSTITUCION EDUCATIVA NUESTRA SRA DEL CARMEN;00153;CARTAGENA;BOLIVAR;A;OFICIAL;MAÑANA;195;48,54;49,7;49,71;48,55;47,88;48,63;48,08;7,73;8,32;9,06;10,05;9,15;8,49;9,53;20142
186197;COL BOLIVARIANO;00001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MAÑANA;7;49,14;46,71;53,14;51,14;49,43;50,14;49,86;8,28;14,14;9,42;15,09;10,86;8,05;12,98;20142
141465;SEDE # 1 CHAJAL;00781;TUMACO;NARIÑO;A;OFICIAL;MAÑANA;50;41,46;43,1;40,14;42,26;40,8;41,9;41,6;6,33;4,47;7,8;7,73;7,17;7,7;7,66;20142
